regime,mae_u,price_neural,price_classical,rel_error
default,1.596526861190796,54.9690055847168,18.41925048828125,1.9843235822959113
default,1.6712223291397095,54.95081329345703,23.808481216430664,1.3080351697318395
default,1.5077306032180786,44.903316497802734,24.962610244750977,0.7988229299226377
low_vol,2.062544345855713,16.175247192382812,25.515979766845703,0.3660738209443946
low_vol,2.296267032623291,20.425718307495117,11.456060409545898,0.7829617507527628
low_vol,2.675834894180298,3.0053184032440186,8.369129180908203,0.640904211276364
high_vol,1.537533164024353,50.095367431640625,37.63605499267578,0.33104723941821923
high_vol,2.0006728172302246,19.46182632446289,25.417253494262695,0.23430646969144886
high_vol,1.8711798191070557,3.254892110824585,8.348116874694824,0.6101045577361865
dense_time,1.3234941959381104,4.526461124420166,7.038211345672607,0.3568733220725817
dense_time,1.0514922142028809,19.331878662109375,25.818979263305664,0.2512531686007699
dense_time,1.3676739931106567,5.8965654373168945,17.09446907043457,0.6550600040234535
